f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
0.65071994,0.037538193,-1.2311324,1.2296795,-0.5590364,-0.70036495,0.2252299,0.80968136,0.42533916,-0.47972143,-1.3921721,0.04660627,1.5040314,1.4038702,0.2882825,0.06772118,0.36485362,-0.38283497,-1.2385626,-1.0169357,-0.5536204,-0.35965207,-1.0303884,1.9806054,0.740211,0.5841731,1.4877472,0.4059294,-2.1797159,0.69963694
1.8915979,0.21940759,-0.6098561,0.88774467,0.6391833,-1.2469871,-1.5380706,-1.1813788,-0.3546896,-0.8110962,-0.64597243,1.0284401,2.300945,2.0070229,-0.9788097,0.4595567,-0.7974797,1.0870681,-1.3956109,-1.6591904,-0.35600346,-0.31863472,0.2553836,0.44932556,0.35947353,-0.16375238,0.7739231,-0.65688527,-1.6335013,0.66911286
2.6842542,0.99853736,0.6777559,1.1991417,-0.13271976,0.040447086,-0.89606947,1.1372452,0.32075608,-0.6651058,-0.92765903,0.6731311,1.3487052,1.0889738,-1.1671216,-0.16587706,-1.1233133,0.34431985,-1.7556499,-1.2999289,-0.34473336,-0.45683938,0.5174964,1.5286931,-0.8207788,1.1393359,1.6405499,-1.019946,-0.15067083,0.17733109
1.4515074,1.5073476,-1.688169,-0.6643071,0.37148976,-1.1723937,-1.4899255,-0.35538778,-0.45950168,-0.75490564,-1.1203096,0.8082694,0.580621,1.4878204,-0.2738034,1.0013143,0.12518217,0.36883095,-1.1102581,-1.82809,0.2590122,-0.8929698,0.10835291,0.20614155,1.0960321,1.0146897,1.0279857,0.60744107,-2.0388918,0.60815203
1.027135,1.0812958,-2.1280224,0.1638712,0.1245927,-1.1063355,-1.7216012,-0.4307235,-0.6889895,-0.9592036,-0.77905643,-0.51691926,-0.2566409,1.9651502,0.785897,0.16900215,-1.1536218,0.23878329,-0.99817884,-2.546743,0.8743796,-0.11616169,0.44635564,1.0709009,0.29158133,0.609723,1.6894006,0.080428794,-2.1154668,-0.17700242
-0.20440103,0.29805052,0.54337686,-0.10716772,-0.6958993,-0.9259932,-1.7543172,-0.78503,-1.4837497,-1.909346,-0.41618097,0.030391766,1.3879167,0.8037665,-1.4662727,-1.0059321,-0.54867214,-0.21008198,-0.15960726,-1.0785004,0.030365609,-0.6039856,1.8596753,0.21132265,-0.54022276,0.8505548,0.5563813,0.69860125,-1.4359102,0.61748016
0.50066197,-0.9366551,0.3060865,0.54672885,0.2571177,-0.03975479,-1.3162495,-0.7973794,-1.2223146,-1.1029613,-0.6455808,-0.58460635,1.1962075,0.21813251,-1.0149355,-1.8826444,-0.1616418,0.47806552,-1.2268987,-0.88005906,-0.6831432,0.2529527,0.38966078,2.074107,0.010832056,1.8989677,0.68247104,1.0916936,0.6954199,0.45010197
1.3692474,-0.53785986,-0.7799722,0.42491406,0.35421884,0.00186757,-0.8873467,-0.48468533,-0.6703073,0.17109787,-1.1704054,-0.96319056,0.91866565,2.28259,-0.23002037,-0.30406845,-1.2170358,1.6882957,-2.014284,-1.4694728,-0.888674,-0.56398284,0.36105886,1.8268577,-1.5658865,1.6926503,0.7398648,0.4376142,-0.7044051,0.75607544
0.57905585,-1.3494174,-0.81777436,0.8273082,-0.5599465,-1.0117009,-1.2353039,-1.3721797,-1.360305,-0.76752955,1.2944775,-0.13770334,1.6685333,1.3353801,0.07193984,-1.0049099,-0.36996442,-0.12783667,-2.0780184,-2.0129857,-0.2276544,-1.1800239,1.0244505,1.0480794,-0.6160877,-0.1845338,0.50638896,-0.41385776,-0.76721096,0.3638251
-0.47702748,-0.06573668,0.13281299,-0.41153207,1.0155818,-0.1549595,-1.6359766,-1.7774938,-1.6655984,-0.88067895,0.59831524,-0.09552361,1.4181316,1.9481007,-1.9098722,-1.2223012,-0.53594714,1.179639,-1.0754148,-1.5010731,0.69904125,-0.05980044,1.5394794,1.9631226,-0.7508008,1.438914,0.45911556,1.2689228,-0.49105963,0.2125782
